"","region","scientific_name","common_name","tonnes","projname"
"1","AFSC_EBS","theragra chalcogramma","Alaska pollock",19466805.5664131,"theragra chalcogramma_Pac"
"56","AFSC_EBS","gadus macrocephalus","Pacific cod",1413526.57179563,"gadus macrocephalus_Pac"
"104","AFSC_EBS","limanda aspera","Yellowfin sole",955412.653392583,"limanda aspera_Pac"
"5","AFSC_EBS","pleurogrammus monopterygius","Atka mackerel",837171.342892917,"pleurogrammus monopterygius_Pac"
"13","AFSC_EBS","oncorhynchus keta","Chum salmon",513489.872992844,"oncorhynchus keta_Pac"
"60","AFSC_EBS","clupea pallasii pallasii","Pacific herring",247271.303562303,"clupea pallasii_Pac"
"59","AFSC_EBS","hippoglossus stenolepis","Pacific halibut",183877.804626749,"hippoglossus stenolepis_Pac"
"76","AFSC_EBS","anoplopoma fimbria","Sablefish",121548.54328171,"anoplopoma fimbria_Pac"
"4","AFSC_EBS","atheresthes stomias","Arrowtooth flounder",58600.2048974576,"atheresthes stomias_Pac"
"12","AFSC_EBS","oncorhynchus tshawytscha","Chinook salmon",43589.0244750689,"oncorhynchus tshawytscha_Pac"
"26","AFSC_Aleutians","gadus macrocephalus","Pacific cod",1904659.22268929,"gadus macrocephalus_Pac"
"2","AFSC_Aleutians","theragra chalcogramma","Alaska pollock",478379.881080356,"theragra chalcogramma_Pac"
"28","AFSC_Aleutians","clupea pallasii pallasii","Pacific herring",274624.217398879,"clupea pallasii_Pac"
"47","AFSC_Aleutians","limanda aspera","Yellowfin sole",256557.233118144,"limanda aspera_Pac"
"27","AFSC_Aleutians","hippoglossus stenolepis","Pacific halibut",201461.428474082,"hippoglossus stenolepis_Pac"
"36","AFSC_Aleutians","anoplopoma fimbria","Sablefish",158023.737511632,"anoplopoma fimbria_Pac"
"3","AFSC_Aleutians","atheresthes stomias","Arrowtooth flounder",94218.8032086318,"atheresthes stomias_Pac"
"31","AFSC_Aleutians","paralithodes camtschaticus","Red king crab",65251.1390232265,"paralithodes camtschaticus_Pac"
"41","AFSC_Aleutians","pleurogrammus monopterygius","Atka mackerel",28129.7670088419,"pleurogrammus monopterygius_Pac"
"10","AFSC_Aleutians","oncorhynchus tshawytscha","Chinook salmon",13536.8639260448,"oncorhynchus tshawytscha_Pac"
"54","AFSC_GOA","merluccius productus","North Pacific hake",2107516.58145852,"merluccius productus_Pac"
"61","AFSC_GOA","gadus macrocephalus","Pacific cod",1526863.17207519,"gadus macrocephalus_Pac"
"21","AFSC_GOA","theragra chalcogramma","Alaska pollock",1049821.15162192,"theragra chalcogramma_Pac"
"65","AFSC_GOA","clupea pallasii pallasii","Pacific herring",833334.37730639,"clupea pallasii_Pac"
"114","AFSC_GOA","limanda aspera","Yellowfin sole",533971.708311787,"limanda aspera_Pac"
"64","AFSC_GOA","hippoglossus stenolepis","Pacific halibut",335213.470450806,"hippoglossus stenolepis_Pac"
"23","AFSC_GOA","oncorhynchus keta","Chum salmon",303848.246375002,"oncorhynchus keta_Pac"
"85","AFSC_GOA","anoplopoma fimbria","Sablefish",181271.535537866,"anoplopoma fimbria_Pac"
"6","AFSC_GOA","atheresthes stomias","Arrowtooth flounder",131255.93288337,"atheresthes stomias_Pac"
"80","AFSC_GOA","paralithodes camtschaticus","Red king crab",97916.5452837087,"paralithodes camtschaticus_Pac"
"62","NWFSC_WCAnn","merluccius productus","North Pacific hake",3915622.63378078,"merluccius productus_Pac"
"211","NWFSC_WCAnn","loligo opalescens","California market squid",1272482.7,"loligo opalescens_Pac"
"37","NWFSC_WCAnn","microstomus pacificus","Dover sole",212225.1,"microstomus pacificus_Pac"
"92","NWFSC_WCAnn","anoplopoma fimbria","Sablefish",147205.2,"anoplopoma fimbria_Pac"
"25","NWFSC_WCAnn","oncorhynchus tshawytscha","Chinook salmon",94021.7,"oncorhynchus tshawytscha_Pac"
"271","NWFSC_WCAnn","oncorhynchus keta","Chum salmon",88714.1556431232,"oncorhynchus keta_Pac"
"72","NWFSC_WCAnn","clupea pallasii pallasii","Pacific herring",78266,"clupea pallasii_Pac"
"122","NWFSC_WCAnn","sebastes entomelas","Widow rockfish",74904.2,"sebastes entomelas_Pac"
"7","NWFSC_WCAnn","atheresthes stomias","Arrowtooth flounder",63006.6,"atheresthes stomias_Pac"
"125","NWFSC_WCAnn","sebastes flavidus","Yellowtail rockfish",49922.4,"sebastes flavidus_Pac"
"621","AFSC_WCTri","merluccius productus","North Pacific hake",3915622.63378078,"merluccius productus_Pac"
