"lon","lat","depth","rugosity"
262.8125,25.8125,4,1.125
262.8125,25.9375,2,2.5
262.9375,25.8125,-23,0.75
262.9375,25.9375,-22,0.5
263.0625,25.8125,-31,0.375
263.0625,25.9375,-30,0.5
263.1875,25.8125,-42,0.25
263.1875,25.9375,-42,0.25
262.8125,26.0625,-2,0.375
262.8125,26.1875,-2,1.625
262.9375,26.0625,-17,3.875
262.9375,26.1875,-19,0.75
263.0625,26.0625,-31,0.5
263.0625,26.1875,-31,0.875
263.1875,26.0625,-41,0.5
263.1875,26.1875,-40,0.125
263.3125,26.0625,-46,1
263.3125,26.1875,-46,0.5
263.4375,26.0625,-57,0.75
263.4375,26.1875,-53,1.25
263.5625,26.0625,-72,1.625
263.5625,26.1875,-68,0.625
263.6875,26.0625,-238,26.375
263.6875,26.1875,-313,29.875
262.8125,26.3125,-6,3.75
262.8125,26.4375,-15,0.5
262.9375,26.3125,-19,0.375
262.9375,26.4375,-25,1.125
263.0625,26.3125,-35,0.875
263.0625,26.4375,-37,0.625
263.1875,26.3125,-40,0.5
263.1875,26.4375,-41,0.625
263.3125,26.3125,-45,0.5
263.3125,26.4375,-46,0.375
263.4375,26.3125,-53,1.375
263.4375,26.4375,-62,1.5
263.5625,26.3125,-73,1.625
263.5625,26.4375,-79,1.5
263.6875,26.3125,-171,27
263.6875,26.4375,-261,35
262.5625,26.5625,5,0.625
262.5625,26.6875,-2,0
262.6875,26.5625,3,5.25
262.6875,26.6875,-3,5
262.8125,26.5625,-18,0.75
262.8125,26.6875,-21,0.875
262.9375,26.5625,-33,1.25
262.9375,26.6875,-34,0.5
263.0625,26.5625,-38,0
263.0625,26.6875,-41,0.75
263.1875,26.5625,-44,0.5
263.1875,26.6875,-55,0.75
263.3125,26.5625,-62,1
263.3125,26.6875,-72,1.25
263.4375,26.5625,-83,1.75
263.4375,26.6875,-98,1.125
263.5625,26.5625,-109,1.625
263.5625,26.6875,-175,11.875
263.6875,26.5625,-390,26.375
263.6875,26.6875,-443,15.625
262.5625,26.8125,-6,5.625
262.5625,26.9375,-3,0.75
262.6875,26.8125,-14,0.75
262.6875,26.9375,-16,0.5
262.8125,26.8125,-27,0.875
262.8125,26.9375,-27,0.625
262.9375,26.8125,-34,0.375
262.9375,26.9375,-35,0.375
263.0625,26.8125,-46,0.75
263.0625,26.9375,-48,0.75
263.1875,26.8125,-61,1.125
263.1875,26.9375,-65,1.125
263.3125,26.8125,-85,1.5
263.3125,26.9375,-85,0.875
263.4375,26.8125,-108,1.75
263.4375,26.9375,-110,1.625
262.5625,27.0625,-2,1.5
262.5625,27.1875,-2,1.5
262.6875,27.0625,-16,0.375
262.6875,27.1875,-14,0.75
262.8125,27.0625,-28,0.875
262.8125,27.1875,-25,0.375
262.9375,27.0625,-35,0.5
262.9375,27.1875,-33,0.5
263.0625,27.0625,-47,0.75
263.0625,27.1875,-44,0.75
263.1875,27.0625,-65,1
263.1875,27.1875,-60,0.75
263.3125,27.0625,-85,1.125
263.3125,27.1875,-77,1.125
263.4375,27.0625,-103,1.625
263.4375,27.1875,-95,1.375
262.5625,27.3125,-2,1.375
262.5625,27.4375,8,2.25
262.6875,27.3125,-11,1.25
262.6875,27.4375,3,0.125
262.8125,27.3125,-22,0.625
262.8125,27.4375,-18,0.75
262.9375,27.3125,-30,0.25
262.9375,27.4375,-26,0.375
263.0625,27.3125,-39,0.875
263.0625,27.4375,-33,0.5
263.1875,27.3125,-53,0.875
263.1875,27.4375,-45,0.625
263.3125,27.3125,-68,1.875
263.3125,27.4375,-58,1.125
263.4375,27.3125,-86,1.25
263.4375,27.4375,-73,0.75
263.5625,27.3125,-107,2
263.5625,27.4375,-92,1.125
263.6875,27.3125,-154,3.75
263.6875,27.4375,-117,2
262.8125,27.5625,-12,0.75
262.8125,27.6875,3,2.625
262.9375,27.5625,-22,0.125
262.9375,27.6875,-16,0.625
263.0625,27.5625,-29,0.625
263.0625,27.6875,-23,0.75
263.1875,27.5625,-37,0.625
263.1875,27.6875,-30,0.375
263.3125,27.5625,-48,0.875
263.3125,27.6875,-38,0.875
263.4375,27.5625,-61,0.875
263.4375,27.6875,-49,0.875
263.5625,27.5625,-76,1.375
263.5625,27.6875,-60,1
263.6875,27.5625,-93,1.25
263.6875,27.6875,-72,1
263.8125,27.5625,-113,2
263.8125,27.6875,-86,1.5
263.9375,27.5625,-140,3.25
263.9375,27.6875,-96,2.625
264.0625,27.5625,-199,9.875
264.0625,27.6875,-103,3.875
264.1875,27.5625,-406,20.25
264.1875,27.6875,-112,5.875
264.3125,27.5625,-544,21
264.3125,27.6875,-310,30
264.4375,27.5625,-569,18.5
264.4375,27.6875,-323,23.5
262.8125,27.8125,1,2.5
262.8125,27.9375,3,0.375
262.9375,27.8125,-2,3.375
262.9375,27.9375,-2,0
263.0625,27.8125,-18,0.5
263.0625,27.9375,-11,0.625
263.1875,27.8125,-23,0.5
263.1875,27.9375,-17,1.125
263.3125,27.8125,-29,0.625
263.3125,27.9375,-22,1
263.4375,27.8125,-37,0.75
263.4375,27.9375,-28,0.625
263.5625,27.8125,-47,1
263.5625,27.9375,-33,0.75
263.6875,27.8125,-56,0.875
263.6875,27.9375,-41,0.875
263.8125,27.8125,-64,1.25
263.8125,27.9375,-47,0.875
263.9375,27.8125,-68,1.25
263.9375,27.9375,-51,0.625
264.0625,27.8125,-62,0.75
264.0625,27.9375,-52,0.5
264.1875,27.8125,-64,0.625
264.1875,27.9375,-53,0.75
264.3125,27.8125,-68,1.25
264.3125,27.9375,-56,0.75
264.4375,27.8125,-76,1.625
264.4375,27.9375,-59,0.625
264.5625,27.8125,-102,3.875
264.5625,27.9375,-66,1.125
264.6875,27.8125,-149,9
264.6875,27.9375,-79,2.125
264.8125,27.8125,-206,11.625
264.8125,27.9375,-89,1.375
264.9375,27.8125,-254,21.25
264.9375,27.9375,-95,2.25
265.0625,27.8125,-342,30.75
265.0625,27.9375,-99,2.75
265.1875,27.8125,-372,29.5
265.1875,27.9375,-102,2.75
265.3125,27.8125,-324,21.875
265.3125,27.9375,-99,3.75
265.4375,27.8125,-392,19.375
265.4375,27.9375,-99,4.75
265.5625,27.8125,-277,3.5
265.5625,27.9375,-104,3
265.6875,27.8125,-300,22.875
265.6875,27.9375,-111,5
265.8125,27.8125,-243,21.25
265.8125,27.9375,-86,3.75
265.9375,27.8125,-403,28.625
265.9375,27.9375,-87,1.625
266.0625,27.8125,-183,14.75
266.0625,27.9375,-95,2.375
266.1875,27.8125,-163,12.625
266.1875,27.9375,-107,4.125
266.3125,27.8125,-122,6.5
266.3125,27.9375,-99,3
266.4375,27.8125,-200,6
266.4375,27.9375,-114,4.875
266.5625,27.8125,-164,10.375
266.5625,27.9375,-98,11.5
266.6875,27.8125,-174,9.375
266.6875,27.9375,-118,1.875
266.8125,27.8125,-211,4.125
266.8125,27.9375,-116,4.125
266.9375,27.8125,-77,10.375
266.9375,27.9375,-137,5.625
267.3125,27.8125,-347,57.625
267.3125,27.9375,-157,8.875
267.4375,27.8125,-384,20.875
267.4375,27.9375,-137,6.25
263.0625,28.0625,-2,2.125
263.0625,28.1875,-2,2.125
263.1875,28.0625,-9,1.125
263.1875,28.1875,-2,0.375
263.3125,28.0625,-16,0.375
263.3125,28.1875,2,3.75
263.4375,28.0625,-20,0.375
263.4375,28.1875,-13,0.625
263.5625,28.0625,-25,0.5
263.5625,28.1875,-19,0.625
263.6875,28.0625,-29,0.625
263.6875,28.1875,-23,0.875
263.8125,28.0625,-33,0.5
263.8125,28.1875,-25,0.25
263.9375,28.0625,-37,0.875
263.9375,28.1875,-27,0.125
264.0625,28.0625,-40,0.625
264.0625,28.1875,-31,1.125
264.1875,28.0625,-43,0.75
264.1875,28.1875,-34,0.5
264.3125,28.0625,-46,0.625
264.3125,28.1875,-37,0.75
264.4375,28.0625,-49,0.625
264.4375,28.1875,-39,0.5
264.5625,28.0625,-52,0.625
264.5625,28.1875,-40,3
264.6875,28.0625,-56,0.5
264.6875,28.1875,-46,0.5
264.8125,28.0625,-58,0.625
264.8125,28.1875,-48,0.25
264.9375,28.0625,-62,2
264.9375,28.1875,-49,0.375
265.0625,28.0625,-67,1.75
265.0625,28.1875,-49,0.75
265.1875,28.0625,-66,1.625
265.1875,28.1875,-51,0.125
265.3125,28.0625,-61,1.25
265.3125,28.1875,-53,0.5
265.4375,28.0625,-57,1.125
265.4375,28.1875,-55,1.625
265.5625,28.0625,-61,2.375
265.5625,28.1875,-54,0.875
265.6875,28.0625,-65,2.125
265.6875,28.1875,-60,4.75
265.8125,28.0625,-64,1
265.8125,28.1875,-56,0.75
265.9375,28.0625,-71,0.25
265.9375,28.1875,-60,2.875
266.0625,28.0625,-65,1.75
266.0625,28.1875,-67,1
266.1875,28.0625,-75,0.25
266.1875,28.1875,-67,0.875
266.3125,28.0625,-77,3.75
266.3125,28.1875,-64,0.5
