taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common,genusspecies,newname
ACHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,bay anchovy,Anchoa mitchilli,Anchoa mitchilli
Anthoptilum grandiflorum,grandiflorum,Anthoptilum,Anthoptilidae,Pennatulacea,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Anthoptilum grandiflorum,sea pen,Anthoptilum grandiflorum,Anthoptilum grandiflorum
Astropecten californicus,verilli,Astropecten,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Astropecten verilli,sea star,Astropecten verilli,Astropecten verilli
BAGRE MARIUS,marinus,Bagre,Ariidae,Siluriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bagre marinus,Gafftopsail catfish,Bagre marinus,Bagre marinus
BREVOORTIA PATROUS,patronus,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Brevoortia patronus,Gulf menhaden,Brevoortia patronus,Brevoortia patronus
Balanus evermanni,evermanni,Chirona,Archaeobalanidae,Sessillia,Maxillopoda,NA,Crustacea,Arthropoda,Animalia,Chirona evermanni,barnacle,Chirona evermanni,Chirona evermanni
Bolinia euryptera,euryptera,Bolinia,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bolinia euryptera,sculpin,Bolinia euryptera,Bolinia euryptera
Brisaster latifrons,latifrons,Brisaster,Schizasteridae,Spatangoida,Echinoidea,NA,Echinozoa,Echinodermata,Animalia,Brisaster latifrons,sea urchin,Brisaster latifrons,Brisaster latifrons
CHRYSAORA QUIQUECIRRHA,quinquecirrha,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,NA,Cnidaria,Animalia,Chrysaora quiquecirrha,sea nettle,Chrysaora quinquecirrha,Chrysaora quinquecirrha
CYOSCIO,NA,Cynoscion,Sciaenidae,Perciformes,Actinopterygii,Gnathostomata,Vertebrata,Chordata,Animalia,Cynoscion spp.,drum,Cynoscion NA,Cynoscion spp.
Ceramaster japonicus,japonicus,Ceramaster,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Ceramaster japonicus,red cookie star,Ceramaster japonicus,Ceramaster japonicus
Cheiraster dawsoni,dawsoni,Cheiraster,Benthopectinidae,Notomyotida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Cheiraster dawsoni,sea star,Cheiraster dawsoni,Cheiraster dawsoni
Colus halli,hallii,Colus,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Colus halli,snail,Colus hallii,Colus hallii
Colus spitzbergensis,brevicauda,Aulacofusus,Buccinidae,Neogastropoda,Gastropoda,Gas,NA,Mollusca,Animalia,Colus brevicauda,thick-ribbed whelk,Aulacofusus brevicauda,Aulacofusus brevicauda
Corallimorphus spp.,NA,Corallimorphus,Corallimorphidae,Corallimorpharia,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Corallimorphus spp.,false coral,Corallimorphus NA,Corallimorphus spp.
Crossaster borealis,borealis,Crossaster,Solasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Crossaster borealis,grooved sun star,Crossaster borealis,Crossaster borealis
Cucumaria fallax,fallax,Cucumaria,Cucumariidae,Dendrochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Cucumaria fallax,sea cucumber,Cucumaria fallax,Cucumaria fallax
Diplopteraster multipes,multipes,Diplopteraster,Pterasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Diplopteraster multipes,cushion star,Diplopteraster multipes,Diplopteraster multipes
Dipsacaster borealis,borealis,Dipsacaster,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Dipsacaster borealis,northern sand star,Dipsacaster borealis,Dipsacaster borealis
Dorididae,NA,NA,Dorididae,Nudibranchia,Gastropoda,NA,NA,Mollusca,Animalia,Dorididae spp.,nudibranch,NA NA,Dorididae spp.
Eunoe depressa,depressa,Eunoe,Polynoidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Eunoe depressa,polychaete worm,Eunoe depressa,Eunoe depressa
Eunoe nodosa,nodosa,Eunoe,Polynoidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Eunoe nodosa,polychaete worm,Eunoe nodosa,Eunoe nodosa
Evasterias echinosoma,echinosoma,Evasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Evasterias echinosoma,sea star,Evasterias echinosoma,Evasterias echinosoma
Evasterias troschelii,troschelii,Evasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Evasterias troschelii,mottled star,Evasterias troschelii,Evasterias troschelii
Flustra serrulata,serrulata,Flustra,Flustridae,Cheilostomata,Gymnolaemata,NA,NA,Bryozoa,Animalia,Flustra serrulata,bryozoan,Flustra serrulata,Flustra serrulata
GYMOTHORAX IGROMARGIATUS,nigromarginatus,Gymnothorax,Muraenidae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymothorax igromargiatus,blackedge moray,Gymnothorax nigromarginatus,Gymnothorax nigromarginatus
HILDEBRADIA FLAVA,flavus,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Rhynchoconger flavus,yellow conger,Rhynchoconger flavus,Rhynchoconger flavus
Halocynthia aurantium,aurantium,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Halocynthia aurantium,sea peach,Halocynthia aurantium,Halocynthia aurantium
Halocynthia igaboja,igaboja,Halocynthia,Pyuridae,Stolidobranchia,Ascidiacea,NA,Tunicata,Chordata,Animalia,Halocynthia igaboja,bristly tunicate,Halocynthia igaboja,Halocynthia igaboja
Heterozonias alternatus,alternatus,Heterozonias,Solasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Heterozonias alternatus,sea star,Heterozonias alternatus,Heterozonias alternatus
Hexactinosida,NA,NA,NA,Hexactinosida,Hexactinellida,NA,NA,Porifera,Animalia,Hexactinosida spp.,sponge,NA NA,Hexactinosida spp.
Hippasteria californica,californica,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria californica,Californian spiny star,Hippasteria californica,Hippasteria californica
Hippasteria spinosa,spinosa,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria spinosa,spiny star,Hippasteria spinosa,Hippasteria spinosa
Hormathiidae,NA,NA,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Hormathiidae spp.,sea anemone,NA NA,Hormathiidae spp.
Invertebrata,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Invertebrata spp.,invertebrate,NA NA,Invertebrata spp.
LIBIIA EMARGIATA,emarginata,Libinia,Epialtidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Libinia emarginata,portly spider crab,Libinia emarginata,Libinia emarginata
LUTJAUS CAMPECHAUS,campechanus,Lutjanus,Lutjanidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lutjanus campechanus,northern red snapper,Lutjanus campechanus,Lutjanus campechanus
