"","gridpolyID","wdpapolyID","area_grid","area_wdpa","prop_grid","wdpaid","objectid","wdpa_pid","country","sub_loc","name","orig_name","desig","desig_eng","desig_type","iucn_cat","marine","rep_m_area","rep_area","status","status_yr","gov_type","mang_auth","int_crit","mang_plan","official","is_point","no_take","no_tk_area","metadata_i","action","lat","lon"
"2253",3366,62,0.00186417076438336,0.0646216511154004,0.0288474641580165,628,40195,0,"CAN","CA-BC","Pacific Rim National Park Reserve of Canada","Pacific Rim","Parc national","National Park of Canada","National","II",1,153,510,"Designated",2001,"Federal or national ministry or agency","Government of Canada, Parks Canada Agency","Not Applicable","Not Reported",1,NA,"Not Reported",0,1860,NA,48.875,-125.625
"2255",3371,62,0.0124664671303586,0.0646216511154004,0.192914710707347,628,40195,0,"CAN","CA-BC","Pacific Rim National Park Reserve of Canada","Pacific Rim","Parc national","National Park of Canada","National","II",1,153,510,"Designated",2001,"Federal or national ministry or agency","Government of Canada, Parks Canada Agency","Not Applicable","Not Reported",1,NA,"Not Reported",0,1860,NA,48.875,-125.375
"2259",3376,62,0.00314425782794916,0.0646216511154004,0.048656414277224,628,40195,0,"CAN","CA-BC","Pacific Rim National Park Reserve of Canada","Pacific Rim","Parc national","National Park of Canada","National","II",1,153,510,"Designated",2001,"Federal or national ministry or agency","Government of Canada, Parks Canada Agency","Not Applicable","Not Reported",1,NA,"Not Reported",0,1860,NA,48.625,-125.125
"2273",3397,62,0.0157333451601437,0.0646216511154004,0.243468634560998,628,40195,0,"CAN","CA-BC","Pacific Rim National Park Reserve of Canada","Pacific Rim","Parc national","National Park of Canada","National","II",1,153,510,"Designated",2001,"Federal or national ministry or agency","Government of Canada, Parks Canada Agency","Not Applicable","Not Reported",1,NA,"Not Reported",0,1860,NA,48.625,-124.875
"2285",3426,67,0.00463205185673518,0.472846372350966,0.00979610319035521,974,256695,NA,"USA","US-WA","Olympic","Olympic","National Park","National Park","National","II",1,17.86,3934.890393,"Designated",1938,"Federal or national ministry or agency","National Park Service (NPS)","Not Applicable","Not Reported",1,NA,"Not Reported",0,756,NA,47.875,-124.625
"2309",3458,69,0.00671918921752338,0.05036740440017,0.133403523519681,994,80747,NA,"USA","US-CA","Redwood","Redwood","National Park","National Park","National","II",1,NA,467.979199126,"Designated",1968,"Joint management","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,41.125,-124.125
"2313",3459,69,0.0163938304015461,0.05036740440017,0.325484916222738,994,80747,NA,"USA","US-CA","Redwood","Redwood","National Park","National Park","National","II",1,NA,467.979199126,"Designated",1968,"Joint management","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,41.375,-124.125
"2202",3242,70,0.00359807873318574,2.06356383250741,0.00174362366528481,1010,256715,NA,"USA","US-AK","Glacier Bay","Glacier Bay","National Park and Preserve","National Park and Preserve","National","II",1,2456.32,13288.8529168,"Designated",1925,"Federal or national ministry or agency","National Park Service","Not Applicable","Non-MPA Programmatic Habitat Management Plan",1,NA,"Not Reported",0,2297,NA,59.125,-138.625
"2205",3249,70,4.23172696178672e-07,2.06356383250741,2.05068866546513e-07,1010,256715,NA,"USA","US-AK","Glacier Bay","Glacier Bay","National Park and Preserve","National Park and Preserve","National","II",1,2456.32,13288.8529168,"Designated",1925,"Federal or national ministry or agency","National Park Service","Not Applicable","Non-MPA Programmatic Habitat Management Plan",1,NA,"Not Reported",0,2297,NA,58.625,-138.125
"2206",3250,70,0.0105018143861608,2.06356383250741,0.00508916381491344,1010,256715,NA,"USA","US-AK","Glacier Bay","Glacier Bay","National Park and Preserve","National Park and Preserve","National","II",1,2456.32,13288.8529168,"Designated",1925,"Federal or national ministry or agency","National Park Service","Not Applicable","Non-MPA Programmatic Habitat Management Plan",1,NA,"Not Reported",0,2297,NA,58.875,-138.125
