"","wdpapolyID","area_wdpa","country","sub_loc","name","orig_name","desig","desig_eng","desig_type","iucn_cat","marine","rep_m_area","rep_area","status","status_yr","gov_type","mang_auth","int_crit","mang_plan","official","is_point","no_take","no_tk_area","metadata_i","action","ngrids","rcp","beta_sor","fgained","flost","ngained","nlost","nend","nstart"
"1",69,0.05036740440017,"USA","US-CA","Redwood","Redwood","National Park","National Park","National","II",1,NA,467.979199126,"Designated",1968,"Joint management","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,2,85,0.545454545454545,0.217391304347826,0.543478260869565,10,25,31,46
"2",70,2.06356383250741,"USA","US-AK","Glacier Bay","Glacier Bay","National Park and Preserve","National Park and Preserve","National","II",1,2456.32,13288.8529168,"Designated",1925,"Federal or national ministry or agency","National Park Service","Not Applicable","Non-MPA Programmatic Habitat Management Plan",1,NA,"Not Reported",0,2297,NA,11,85,0.754285714285714,0.172043010752688,0.290322580645161,16,27,82,93
"3",72,0.0969734199216964,"USA","US-CA","Channel Islands","Channel Islands","National Park","National Park","National","II",1,NA,994.249408146,"Designated",1938,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,6,85,0.851612903225806,0.0987654320987654,0.185185185185185,8,15,74,81
"4",74,0.0494921954786514,"USA","US-MS","Gulf Islands","Gulf Islands","National Seashore","National Seashore","National","V",1,NA,527.759454483,"Designated",1971,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,7,85,0.846938775510204,0.118811881188119,0.178217821782178,12,18,95,101
"5",75,0.048281905008846,"USA","US-TX","Padre Island","Padre Island","National Seashore","National Seashore","National","V",1,NA,530.790554623,"Designated",1962,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Part",0,2297,NA,4,85,0.780141843971631,0.34375,0.140625,22,9,77,64
"6",78,0.0298694352276757,"USA","US-CA","Point Reyes","Point Reyes","National Seashore","National Seashore","National","V",1,NA,290.827785759,"Designated",1962,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,3,85,0.791666666666667,0.0545454545454545,0.309090909090909,3,17,41,55
"7",80,0.017811566612163,"USA","US-MA","Cape Cod","Cape Cod","National Seashore","National Seashore","National","V",1,NA,164.080046944,"Designated",1961,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,5,85,0.775,0.225,0.225,9,9,40,40
"8",81,0.0202446384384147,"USA","US-MD","Assateague Island","Assateague Island","National Seashore","National Seashore","National","V",1,NA,197.231945934,"Designated",1965,"Federal or national ministry or agency","National Park Service","Not Applicable","Site-Specific Management Plan",1,NA,"Not Reported",0,2297,NA,3,85,0.909090909090909,0.0769230769230769,0.102564102564103,3,4,38,39
"9",83,0.00634522304495883,"USA","US-NC","Cape Lookout","Cape Lookout","National Seashore","National Seashore","National","V",1,NA,0,"Designated",NA,"Federal or national ministry or agency","National Park Service (NPS)","Not Applicable","Not Reported",1,NA,"Not Reported",0,788,NA,5,85,0.71875,0.171428571428571,0.342857142857143,6,12,29,35
"10",84,0.00406369174428106,"USA","US-NY","Fire Island","Fire Island","National Seashore","National Seashore","National","V",1,NA,78.34,"Designated",1964,"Not Reported","Not Reported","Not Applicable","Not Reported",1,0,"Not Reported",0,756,NA,3,85,0.826666666666667,0.157894736842105,0.184210526315789,6,7,37,38
"11",90,16.0559894796846,"CAN, USA, CAN, USA","CA-YT, CA-YT, US-AK, US-AK","Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek","Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek","World Heritage Site","World Heritage Site","International","Not Applicable",1,13355,98391.21,"Inscribed",1979,"Not Reported","Not Reported","(vii)(viii)(ix)(x)","Not Reported",1,NA,"Not Reported",0,1915,NA,19,85,0.808743169398907,0.135416666666667,0.229166666666667,13,22,87,96
"12",92,1.5077231473188,"USA","US-AK","Aleutian Islands","Aleutian Islands","UNESCO-MAB Biosphere Reserve","UNESCO-MAB Biosphere Reserve","International","Not Applicable",1,NA,11009.43,"Designated",1976,"Not Reported","Not Reported","Not Reported","Not Reported",1,1,"Not Reported",0,2346,NA,18,85,0.394736842105263,1.30188679245283,0.433962264150943,69,23,99,53
