mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	analysis_type	depth_top_cm	depth_top_mm	depth_bot_cm	depth_bot_mm	test_date	test_time	total_weight	coarse_meth	fine_meth	coarse_fine_boundary	coarse_boundary	fine_boundary	pct_coarser	pct_finer	pct_gravel	pct_sand	pct_silt	pct_clay	pct_mud	usc_gravel	usc_sand	usc_fines	meth_description	mean_mm	mean_phi	median_phi	modal_phi	skewness	kurtosis	std_dev	sort_coeff	interval_comments
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	13	1	02	179	0	191	0	19720819	0406					-4.00	10.00	0	35.09	.62	7.87	32.94	58.57							8.03			2.62	.54	.72			
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	14	1	02	191	0	201	0	19720819	0406					-4.00	10.00	0	31.77	0	3.9	43.78	52.32							7.77			2.53	.27	.66			
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	4	1	02	40	0	49	0	19720819	0406					04.01	00.00	0	7.87	.59	4.79	48.72	45.9							7.43			1.99	.67	3.05			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	26	1	02	199	0	208	0	19720817						-4.00	10.00	0	4.69	.31	22.45	37.97	39.27							6.27			2.64	.19	.82			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	27	1	02	208	0	212	0	19720817						-4.00	10.00	0	9.47	27.02	14.76	26.46	31.76							4			5.17	.19	1.36			
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	1	1	02	0	0	5	0	19720819	0406					-4.00	10.00	0	40.35	0	2.13	31.9	65.98							8.65			2.06	.56	1.06			
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	2	1	02	5	0	24	0	19720819	0406					-4.00	10.00	0	27.53	0	1.59	42.88	55.53							8.16			2.04	.24	.68			
09035004	Silas Bent	L.I. 438	3	406	core, gravity, ewing	0	3	1	02	24	0	40	0	19720819	0406					-4.00	10.00	0	11.12	0	2.15	74.03	23.83							7.42			1.68	.13	1.12			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	20	1	02	146	0	156	0	19720817						-4.00	10.00	0	37.1	0	11.3	26.18	62.52							8.3			2.38	.46	.27			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	21	1	02	156	0	166	0	19720817						-4.00	10.00	0	33.69	10.27	13.33	28.39	48.01							6.59			4.33	.55	.27			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	22	1	02	166	0	173	0	19720817						-4.00	10.00	0	38.89	0	13.7	29.88	56.42							7.93			2.74	.37	.67			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	23	1	02	173	0	181	0	19720817						00.04	00.10	0	45.15	0	10.15	25.59	64.27							8.38			2.56	.53	.95			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	14	1	02	98	0	102	0	19720817						-4.00	10.00	0	29.19	.42	9.87	48.34	41.38							7.42			2.61	.21	.44			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	15	1	02	102	0	109	0	19720817						-4.00	10.00	0	19.61	.52	19.94	43.82	35.73							6.81			2.83	.24	.42			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	16	1	02	109	0	119	0	19720817						-4.00	10.00	0	34	.4	13.8	31.65	54.15							7.74			2.91	.48	.08			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	17	1	02	119	0	128	0	19720817						-4.00	10.00	0	37.56	2.36	15.04	28.79	53.81							7.53			3.29	.5	.07			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	18	1	02	128	0	140	0	19720817						-4.00	10.00	0	39.31	4.76	16.69	23.92	54.64							7.31			3.69	.53	.2			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	19	1	02	140	0	146	0	19720817						-4.00	10.00	0	45.27	3.45	15.6	19.82	61.13							7.74			3.55	.61	.51			
