mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	lower_phi_limit	upper_phi_limit	weight_percent
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	-99	-2	2	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	-2	-1	2	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	-1	0	1	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	0	1	2	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	1	2	3	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	2	3	8	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	3	4	9	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	4	6	30	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	1	1	6	99	43	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	-99	-2	3	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	-1	0	1	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	0	1	1	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	1	2	2	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	2	3	4	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	3	4	9	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	4	6	26	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	2	1	6	99	53	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	-99	-2	1	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	-2	-1	1	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	-1	0	3	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	0	1	5	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	1	2	7	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	2	3	11	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	2	3	4	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	3	4	9	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	4	6	24	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	6	99	58	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	-1	0	1	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	0	1	1	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	1	2	2	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	2	3	4	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	3	4	8	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	4	6	31	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	2	1	6	99	52	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	-2	0	1	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	0	2	1	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	2	3	1	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	3	4	1	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	4	6	5	
09995006	Westwind	00616	PH-12	401	core, gravity, phleger	0	1	1	6	99	90	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	6	99	21	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	-99	-2	18	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	-2	-1	2	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	-1	0	2	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	0	1	2	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	1	2	6	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	2	3	5	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	3	4	2	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	4	6	10	
09995006	Westwind	00616	PH-4	401	core, gravity, phleger	0	1	1	6	99	52	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	-2	0	1	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	0	1	2	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	1	2	8	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	2	3	29	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	3	4	21	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	4	6	18	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	1	1	6	99	22	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	0	1	1	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	1	2	6	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	2	3	21	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	3	4	37	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	4	6	16	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	2	1	6	99	18	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	3	1	-99	-2	5	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	3	1	2	3	3	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	3	1	3	4	10	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	3	1	4	6	27	
09995006	Westwind	00616	PH-6	401	core, gravity, phleger	0	3	1	6	99	55	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	-99	-2	4	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	-2	-1	2	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	-1	0	0	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	0	1	0	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	1	2	2	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	2	3	38	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	3	4	22	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	4	6	13	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	6	99	18	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	-99	1	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	1	2	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	2	3	35	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	3	4	17	
