"","year_range","model","rcp","region","mid","ngoals","nmet","pmet"
"1","2007-2020","test",26,"ebs",2013.5,137,94,0.686131386861314
"2","2007-2020","test",85,"ebs",2013.5,136,97,0.713235294117647
"3","2007-2020","train",26,"ebs",2013.5,144,120,0.833333333333333
"4","2007-2020","train",85,"ebs",2013.5,144,116,0.805555555555556
"5","2021-2040","test",26,"ebs",2030.5,130,85,0.653846153846154
"6","2021-2040","test",85,"ebs",2030.5,127,72,0.566929133858268
"7","2021-2040","train",26,"ebs",2030.5,139,94,0.676258992805755
"8","2021-2040","train",85,"ebs",2030.5,132,84,0.636363636363636
"9","2041-2060","test",26,"ebs",2050.5,125,73,0.584
"10","2041-2060","test",85,"ebs",2050.5,106,66,0.622641509433962
"11","2041-2060","train",26,"ebs",2050.5,137,90,0.656934306569343
"12","2041-2060","train",85,"ebs",2050.5,118,68,0.576271186440678
"13","2061-2080","test",26,"ebs",2070.5,123,72,0.585365853658537
"14","2061-2080","train",26,"ebs",2070.5,137,88,0.642335766423358
"15","2061-2080","train",85,"ebs",2070.5,103,54,0.524271844660194
"16","2081-2100","test",26,"ebs",2090.5,122,75,0.614754098360656
"17","2081-2100","train",26,"ebs",2090.5,135,83,0.614814814814815
"18","2081-2100","train",85,"ebs",2090.5,86,50,0.581395348837209
"19","2061-2080","test",85,"ebs",2070.5,85,42,0.494117647058824
"20","2081-2100","test",85,"ebs",2090.5,79,43,0.544303797468354
"21","2007-2020","test",26,"goa",2013.5,130,110,0.846153846153846
"22","2007-2020","test",85,"goa",2013.5,128,108,0.84375
"23","2007-2020","train",26,"goa",2013.5,132,130,0.984848484848485
"24","2007-2020","train",85,"goa",2013.5,133,130,0.977443609022556
"25","2021-2040","test",26,"goa",2030.5,127,107,0.84251968503937
"26","2021-2040","test",85,"goa",2030.5,127,109,0.858267716535433
"27","2021-2040","train",26,"goa",2030.5,130,117,0.9
"28","2021-2040","train",85,"goa",2030.5,127,112,0.881889763779528
"29","2041-2060","test",26,"goa",2050.5,126,107,0.849206349206349
"30","2041-2060","test",85,"goa",2050.5,125,113,0.904
"31","2041-2060","train",26,"goa",2050.5,128,111,0.8671875
"32","2041-2060","train",85,"goa",2050.5,122,99,0.811475409836066
"33","2061-2080","test",26,"goa",2070.5,126,109,0.865079365079365
"34","2061-2080","train",26,"goa",2070.5,127,111,0.874015748031496
"35","2081-2100","test",26,"goa",2090.5,125,106,0.848
"36","2081-2100","train",26,"goa",2090.5,124,110,0.887096774193548
"37","2061-2080","test",85,"goa",2070.5,119,96,0.80672268907563
"38","2061-2080","train",85,"goa",2070.5,118,92,0.779661016949153
"39","2081-2100","test",85,"goa",2090.5,113,83,0.734513274336283
"40","2081-2100","train",85,"goa",2090.5,113,85,0.752212389380531
"41","2007-2020","test",26,"bc",2013.5,130,116,0.892307692307692
"42","2007-2020","test",85,"bc",2013.5,129,114,0.883720930232558
"43","2007-2020","train",26,"bc",2013.5,134,133,0.992537313432836
"44","2007-2020","train",85,"bc",2013.5,134,132,0.985074626865672
"45","2021-2040","test",26,"bc",2030.5,131,116,0.885496183206107
"46","2021-2040","test",85,"bc",2030.5,130,113,0.869230769230769
"47","2021-2040","train",26,"bc",2030.5,132,125,0.946969696969697
"48","2021-2040","train",85,"bc",2030.5,132,119,0.901515151515151
"49","2041-2060","test",26,"bc",2050.5,131,111,0.847328244274809
"50","2041-2060","test",85,"bc",2050.5,127,112,0.881889763779528
"51","2041-2060","train",26,"bc",2050.5,131,117,0.893129770992366
"52","2041-2060","train",85,"bc",2050.5,124,111,0.895161290322581
"53","2061-2080","test",26,"bc",2070.5,130,113,0.869230769230769
"54","2061-2080","test",85,"bc",2070.5,121,93,0.768595041322314
"55","2061-2080","train",26,"bc",2070.5,130,115,0.884615384615385
"56","2061-2080","train",85,"bc",2070.5,120,94,0.783333333333333
"57","2081-2100","test",26,"bc",2090.5,128,113,0.8828125
"58","2081-2100","test",85,"bc",2090.5,112,82,0.732142857142857
"59","2081-2100","train",26,"bc",2090.5,128,109,0.8515625
"60","2081-2100","train",85,"bc",2090.5,109,79,0.724770642201835
"61","2007-2020","test",26,"wc",2013.5,122,116,0.950819672131147
"62","2007-2020","test",85,"wc",2013.5,122,116,0.950819672131147
"63","2007-2020","train",26,"wc",2013.5,127,125,0.984251968503937
"64","2007-2020","train",85,"wc",2013.5,127,125,0.984251968503937
"65","2021-2040","test",26,"wc",2030.5,123,118,0.959349593495935
"66","2021-2040","test",85,"wc",2030.5,122,118,0.967213114754098
"67","2021-2040","train",26,"wc",2030.5,123,118,0.959349593495935
"68","2021-2040","train",85,"wc",2030.5,122,116,0.950819672131147
"69","2041-2060","test",26,"wc",2050.5,122,115,0.942622950819672
"70","2041-2060","test",85,"wc",2050.5,111,108,0.972972972972973
"71","2041-2060","train",26,"wc",2050.5,120,114,0.95
"72","2041-2060","train",85,"wc",2050.5,112,106,0.946428571428571
"73","2061-2080","test",26,"wc",2070.5,121,114,0.942148760330578
"74","2061-2080","test",85,"wc",2070.5,103,95,0.922330097087379
"75","2061-2080","train",26,"wc",2070.5,119,112,0.941176470588235
"76","2061-2080","train",85,"wc",2070.5,100,92,0.92
"77","2081-2100","test",26,"wc",2090.5,121,113,0.933884297520661
"78","2081-2100","test",85,"wc",2090.5,95,89,0.936842105263158
"79","2081-2100","train",26,"wc",2090.5,119,112,0.941176470588235
"80","2081-2100","train",85,"wc",2090.5,94,84,0.893617021276596
"81","2007-2020","test",26,"gmex",2013.5,200,177,0.885
"82","2007-2020","test",85,"gmex",2013.5,200,175,0.875
"83","2007-2020","train",26,"gmex",2013.5,201,197,0.980099502487562
"84","2007-2020","train",85,"gmex",2013.5,201,198,0.985074626865672
"85","2021-2040","test",26,"gmex",2030.5,201,177,0.880597014925373
"86","2021-2040","test",85,"gmex",2030.5,201,179,0.890547263681592
"87","2021-2040","train",26,"gmex",2030.5,198,178,0.898989898989899
"88","2021-2040","train",85,"gmex",2030.5,198,177,0.893939393939394
"89","2041-2060","test",26,"gmex",2050.5,201,174,0.865671641791045
"90","2041-2060","test",85,"gmex",2050.5,197,162,0.822335025380711
"91","2041-2060","train",26,"gmex",2050.5,198,179,0.904040404040404
"92","2041-2060","train",85,"gmex",2050.5,196,162,0.826530612244898
"93","2061-2080","test",26,"gmex",2070.5,201,168,0.835820895522388
"94","2061-2080","test",85,"gmex",2070.5,194,143,0.737113402061856
"95","2061-2080","train",26,"gmex",2070.5,199,176,0.884422110552764
"96","2061-2080","train",85,"gmex",2070.5,190,152,0.8
"97","2081-2100","test",26,"gmex",2090.5,201,169,0.840796019900497
"98","2081-2100","test",85,"gmex",2090.5,187,137,0.732620320855615
"99","2081-2100","train",26,"gmex",2090.5,201,175,0.870646766169154
"100","2081-2100","train",85,"gmex",2090.5,185,140,0.756756756756757
"101","2007-2020","test",26,"seus",2013.5,118,103,0.872881355932203
"102","2007-2020","test",85,"seus",2013.5,122,109,0.89344262295082
