"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,124,2013,0.925373134328358
"2","2021-2040",1,45,125,2030.5,0.932835820895522
"3","2041-2060",1,45,119,2050.5,0.888059701492537
"4","2061-2080",1,45,123,2070.5,0.917910447761194
"5","2081-2100",1,45,124,2090.5,0.925373134328358
"6","2006-2020",2,45,124,2013,0.925373134328358
"7","2021-2040",2,45,125,2030.5,0.932835820895522
"8","2041-2060",2,45,123,2050.5,0.917910447761194
"9","2061-2080",2,45,129,2070.5,0.962686567164179
"10","2081-2100",2,45,125,2090.5,0.932835820895522
"11","2006-2020",3,45,130,2013,0.970149253731343
"12","2021-2040",3,45,127,2030.5,0.947761194029851
"13","2041-2060",3,45,122,2050.5,0.91044776119403
"14","2061-2080",3,45,124,2070.5,0.925373134328358
"15","2081-2100",3,45,121,2090.5,0.902985074626866
"16","2006-2020",4,45,97,2013,0.723880597014925
"17","2021-2040",4,45,107,2030.5,0.798507462686567
"18","2041-2060",4,45,123,2050.5,0.917910447761194
"19","2061-2080",4,45,125,2070.5,0.932835820895522
"20","2081-2100",4,45,123,2090.5,0.917910447761194
"21","2006-2020",5,45,115,2013,0.858208955223881
"22","2021-2040",5,45,124,2030.5,0.925373134328358
"23","2041-2060",5,45,123,2050.5,0.917910447761194
"24","2061-2080",5,45,120,2070.5,0.895522388059702
"25","2081-2100",5,45,120,2090.5,0.895522388059702
"26","2006-2020",6,45,125,2013,0.932835820895522
"27","2021-2040",6,45,119,2030.5,0.888059701492537
"28","2041-2060",6,45,125,2050.5,0.932835820895522
"29","2061-2080",6,45,130,2070.5,0.970149253731343
"30","2081-2100",6,45,127,2090.5,0.947761194029851
"31","2006-2020",7,45,130,2013,0.970149253731343
"32","2021-2040",7,45,127,2030.5,0.947761194029851
"33","2041-2060",7,45,130,2050.5,0.970149253731343
"34","2061-2080",7,45,130,2070.5,0.970149253731343
"35","2081-2100",7,45,114,2090.5,0.850746268656716
"36","2006-2020",8,45,125,2013,0.932835820895522
"37","2021-2040",8,45,122,2030.5,0.91044776119403
"38","2041-2060",8,45,123,2050.5,0.917910447761194
"39","2061-2080",8,45,124,2070.5,0.925373134328358
"40","2081-2100",8,45,128,2090.5,0.955223880597015
"41","2006-2020",9,45,125,2013,0.932835820895522
"42","2021-2040",9,45,126,2030.5,0.940298507462687
"43","2041-2060",9,45,128,2050.5,0.955223880597015
"44","2061-2080",9,45,130,2070.5,0.970149253731343
"45","2081-2100",9,45,127,2090.5,0.947761194029851
"46","2006-2020",10,45,125,2013,0.932835820895522
"47","2021-2040",10,45,122,2030.5,0.91044776119403
"48","2041-2060",10,45,124,2050.5,0.925373134328358
"49","2061-2080",10,45,127,2070.5,0.947761194029851
"50","2081-2100",10,45,125,2090.5,0.932835820895522
"51","2006-2020",11,45,123,2013,0.917910447761194
"52","2021-2040",11,45,124,2030.5,0.925373134328358
"53","2041-2060",11,45,114,2050.5,0.850746268656716
"54","2061-2080",11,45,110,2070.5,0.82089552238806
"55","2081-2100",11,45,81,2090.5,0.604477611940298
"56","2006-2020",12,45,117,2013,0.873134328358209
"57","2021-2040",12,45,122,2030.5,0.91044776119403
"58","2041-2060",12,45,123,2050.5,0.917910447761194
"59","2061-2080",12,45,125,2070.5,0.932835820895522
"60","2081-2100",12,45,119,2090.5,0.888059701492537
"61","2006-2020",13,45,125,2013,0.932835820895522
"62","2021-2040",13,45,124,2030.5,0.925373134328358
"63","2041-2060",13,45,129,2050.5,0.962686567164179
"64","2061-2080",13,45,121,2070.5,0.902985074626866
"65","2081-2100",13,45,129,2090.5,0.962686567164179
"66","2006-2020",1,85,123,2013,0.917910447761194
"67","2021-2040",1,85,121,2030.5,0.902985074626866
"68","2041-2060",1,85,125,2050.5,0.932835820895522
"69","2061-2080",1,85,126,2070.5,0.940298507462687
"70","2081-2100",1,85,120,2090.5,0.895522388059702
"71","2006-2020",2,85,128,2013,0.955223880597015
"72","2021-2040",2,85,120,2030.5,0.895522388059702
"73","2041-2060",2,85,126,2050.5,0.940298507462687
"74","2061-2080",2,85,113,2070.5,0.843283582089552
"75","2081-2100",2,85,122,2090.5,0.91044776119403
"76","2006-2020",3,85,117,2013,0.873134328358209
"77","2021-2040",3,85,129,2030.5,0.962686567164179
"78","2041-2060",3,85,130,2050.5,0.970149253731343
"79","2061-2080",3,85,121,2070.5,0.902985074626866
"80","2081-2100",3,85,125,2090.5,0.932835820895522
"81","2006-2020",4,85,106,2013,0.791044776119403
"82","2021-2040",4,85,119,2030.5,0.888059701492537
"83","2041-2060",4,85,125,2050.5,0.932835820895522
"84","2061-2080",4,85,123,2070.5,0.917910447761194
"85","2081-2100",4,85,120,2090.5,0.895522388059702
"86","2006-2020",5,85,123,2013,0.917910447761194
"87","2021-2040",5,85,120,2030.5,0.895522388059702
"88","2041-2060",5,85,111,2050.5,0.828358208955224
"89","2061-2080",5,85,129,2070.5,0.962686567164179
"90","2081-2100",5,85,123,2090.5,0.917910447761194
"91","2006-2020",6,85,128,2013,0.955223880597015
"92","2021-2040",6,85,122,2030.5,0.91044776119403
"93","2041-2060",6,85,126,2050.5,0.940298507462687
"94","2061-2080",6,85,125,2070.5,0.932835820895522
"95","2081-2100",6,85,120,2090.5,0.895522388059702
"96","2006-2020",7,85,126,2013,0.940298507462687
"97","2021-2040",7,85,125,2030.5,0.932835820895522
"98","2041-2060",7,85,131,2050.5,0.977611940298508
"99","2061-2080",7,85,119,2070.5,0.888059701492537
"100","2081-2100",7,85,119,2090.5,0.888059701492537
"101","2006-2020",8,85,122,2013,0.91044776119403
"102","2021-2040",8,85,124,2030.5,0.925373134328358
"103","2041-2060",8,85,125,2050.5,0.932835820895522
"104","2061-2080",8,85,127,2070.5,0.947761194029851
