"","period","model","rcp","nmet","mid","pmet","region"
"1","2006-2020",1,45,64,2013,0.853333333333333,"NEFSC_NEUSSpring"
"2","2006-2020",1,85,64,2013,0.853333333333333,"NEFSC_NEUSSpring"
"3","2006-2020",2,45,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"4","2006-2020",2,85,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"5","2006-2020",3,45,62,2013,0.826666666666667,"NEFSC_NEUSSpring"
"6","2006-2020",3,85,66,2013,0.88,"NEFSC_NEUSSpring"
"7","2006-2020",4,45,61,2013,0.813333333333333,"NEFSC_NEUSSpring"
"8","2006-2020",4,85,63,2013,0.84,"NEFSC_NEUSSpring"
"9","2006-2020",5,45,62,2013,0.826666666666667,"NEFSC_NEUSSpring"
"10","2006-2020",5,85,67,2013,0.893333333333333,"NEFSC_NEUSSpring"
"11","2006-2020",6,45,66,2013,0.88,"NEFSC_NEUSSpring"
"12","2006-2020",6,85,67,2013,0.893333333333333,"NEFSC_NEUSSpring"
"13","2006-2020",7,45,57,2013,0.76,"NEFSC_NEUSSpring"
"14","2006-2020",7,85,55,2013,0.733333333333333,"NEFSC_NEUSSpring"
"15","2006-2020",8,45,66,2013,0.88,"NEFSC_NEUSSpring"
"16","2006-2020",8,85,67,2013,0.893333333333333,"NEFSC_NEUSSpring"
"17","2006-2020",9,45,66,2013,0.88,"NEFSC_NEUSSpring"
"18","2006-2020",9,85,67,2013,0.893333333333333,"NEFSC_NEUSSpring"
"19","2006-2020",10,45,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"20","2006-2020",10,85,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"21","2006-2020",11,45,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"22","2006-2020",11,85,67,2013,0.893333333333333,"NEFSC_NEUSSpring"
"23","2006-2020",12,45,70,2013,0.933333333333333,"NEFSC_NEUSSpring"
"24","2006-2020",12,85,69,2013,0.92,"NEFSC_NEUSSpring"
"25","2006-2020",13,45,70,2013,0.933333333333333,"NEFSC_NEUSSpring"
"26","2006-2020",13,85,68,2013,0.906666666666667,"NEFSC_NEUSSpring"
"27","2021-2040",1,45,67,2030.5,0.893333333333333,"NEFSC_NEUSSpring"
"28","2021-2040",1,85,67,2030.5,0.893333333333333,"NEFSC_NEUSSpring"
"29","2021-2040",2,45,67,2030.5,0.893333333333333,"NEFSC_NEUSSpring"
"30","2021-2040",2,85,66,2030.5,0.88,"NEFSC_NEUSSpring"
"31","2021-2040",3,45,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"32","2021-2040",3,85,69,2030.5,0.92,"NEFSC_NEUSSpring"
"33","2021-2040",4,45,64,2030.5,0.853333333333333,"NEFSC_NEUSSpring"
"34","2021-2040",4,85,64,2030.5,0.853333333333333,"NEFSC_NEUSSpring"
"35","2021-2040",5,45,61,2030.5,0.813333333333333,"NEFSC_NEUSSpring"
"36","2021-2040",5,85,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"37","2021-2040",6,45,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"38","2021-2040",6,85,65,2030.5,0.866666666666667,"NEFSC_NEUSSpring"
"39","2021-2040",7,45,57,2030.5,0.76,"NEFSC_NEUSSpring"
"40","2021-2040",7,85,62,2030.5,0.826666666666667,"NEFSC_NEUSSpring"
"41","2021-2040",8,45,66,2030.5,0.88,"NEFSC_NEUSSpring"
"42","2021-2040",8,85,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"43","2021-2040",9,45,69,2030.5,0.92,"NEFSC_NEUSSpring"
"44","2021-2040",9,85,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"45","2021-2040",10,45,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"46","2021-2040",10,85,69,2030.5,0.92,"NEFSC_NEUSSpring"
"47","2021-2040",11,45,67,2030.5,0.893333333333333,"NEFSC_NEUSSpring"
"48","2021-2040",11,85,66,2030.5,0.88,"NEFSC_NEUSSpring"
"49","2021-2040",12,45,66,2030.5,0.88,"NEFSC_NEUSSpring"
"50","2021-2040",12,85,70,2030.5,0.933333333333333,"NEFSC_NEUSSpring"
"51","2021-2040",13,45,69,2030.5,0.92,"NEFSC_NEUSSpring"
"52","2021-2040",13,85,68,2030.5,0.906666666666667,"NEFSC_NEUSSpring"
"53","2041-2060",1,45,68,2050.5,0.906666666666667,"NEFSC_NEUSSpring"
"54","2041-2060",1,85,68,2050.5,0.906666666666667,"NEFSC_NEUSSpring"
"55","2041-2060",2,45,70,2050.5,0.933333333333333,"NEFSC_NEUSSpring"
"56","2041-2060",2,85,67,2050.5,0.893333333333333,"NEFSC_NEUSSpring"
