"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,113,2013,0.843283582089552
"2","2021-2040",1,45,119,2030.5,0.888059701492537
"3","2041-2060",1,45,112,2050.5,0.835820895522388
"4","2061-2080",1,45,122,2070.5,0.91044776119403
"5","2081-2100",1,45,119,2090.5,0.888059701492537
"6","2006-2020",2,45,115,2013,0.858208955223881
"7","2021-2040",2,45,113,2030.5,0.843283582089552
"8","2041-2060",2,45,121,2050.5,0.902985074626866
"9","2061-2080",2,45,124,2070.5,0.925373134328358
"10","2081-2100",2,45,116,2090.5,0.865671641791045
"11","2006-2020",3,45,113,2013,0.843283582089552
"12","2021-2040",3,45,117,2030.5,0.873134328358209
"13","2041-2060",3,45,112,2050.5,0.835820895522388
"14","2061-2080",3,45,121,2070.5,0.902985074626866
"15","2081-2100",3,45,116,2090.5,0.865671641791045
"16","2006-2020",4,45,108,2013,0.805970149253731
"17","2021-2040",4,45,109,2030.5,0.813432835820896
"18","2041-2060",4,45,116,2050.5,0.865671641791045
"19","2061-2080",4,45,123,2070.5,0.917910447761194
"20","2081-2100",4,45,122,2090.5,0.91044776119403
"21","2006-2020",5,45,103,2013,0.76865671641791
"22","2021-2040",5,45,120,2030.5,0.895522388059702
"23","2041-2060",5,45,117,2050.5,0.873134328358209
"24","2061-2080",5,45,109,2070.5,0.813432835820896
"25","2081-2100",5,45,118,2090.5,0.880597014925373
"26","2006-2020",6,45,111,2013,0.828358208955224
"27","2021-2040",6,45,117,2030.5,0.873134328358209
"28","2041-2060",6,45,120,2050.5,0.895522388059702
"29","2061-2080",6,45,124,2070.5,0.925373134328358
"30","2081-2100",6,45,120,2090.5,0.895522388059702
"31","2006-2020",7,45,121,2013,0.902985074626866
"32","2021-2040",7,45,121,2030.5,0.902985074626866
"33","2041-2060",7,45,124,2050.5,0.925373134328358
"34","2061-2080",7,45,122,2070.5,0.91044776119403
"35","2081-2100",7,45,96,2090.5,0.716417910447761
"36","2006-2020",8,45,116,2013,0.865671641791045
"37","2021-2040",8,45,118,2030.5,0.880597014925373
"38","2041-2060",8,45,118,2050.5,0.880597014925373
"39","2061-2080",8,45,118,2070.5,0.880597014925373
"40","2081-2100",8,45,122,2090.5,0.91044776119403
"41","2006-2020",9,45,113,2013,0.843283582089552
"42","2021-2040",9,45,113,2030.5,0.843283582089552
"43","2041-2060",9,45,124,2050.5,0.925373134328358
"44","2061-2080",9,45,118,2070.5,0.880597014925373
"45","2081-2100",9,45,119,2090.5,0.888059701492537
"46","2006-2020",10,45,118,2013,0.880597014925373
"47","2021-2040",10,45,119,2030.5,0.888059701492537
"48","2041-2060",10,45,121,2050.5,0.902985074626866
"49","2061-2080",10,45,128,2070.5,0.955223880597015
"50","2081-2100",10,45,122,2090.5,0.91044776119403
"51","2006-2020",11,45,114,2013,0.850746268656716
"52","2021-2040",11,45,111,2030.5,0.828358208955224
"53","2041-2060",11,45,103,2050.5,0.76865671641791
"54","2061-2080",11,45,109,2070.5,0.813432835820896
"55","2081-2100",11,45,94,2090.5,0.701492537313433
"56","2006-2020",12,45,110,2013,0.82089552238806
"57","2021-2040",12,45,120,2030.5,0.895522388059702
"58","2041-2060",12,45,116,2050.5,0.865671641791045
"59","2061-2080",12,45,123,2070.5,0.917910447761194
"60","2081-2100",12,45,111,2090.5,0.828358208955224
"61","2006-2020",13,45,114,2013,0.850746268656716
"62","2021-2040",13,45,121,2030.5,0.902985074626866
"63","2041-2060",13,45,114,2050.5,0.850746268656716
"64","2061-2080",13,45,116,2070.5,0.865671641791045
"65","2081-2100",13,45,116,2090.5,0.865671641791045
"66","2006-2020",1,85,113,2013,0.843283582089552
"67","2021-2040",1,85,121,2030.5,0.902985074626866
"68","2041-2060",1,85,123,2050.5,0.917910447761194
"69","2061-2080",1,85,122,2070.5,0.91044776119403
"70","2081-2100",1,85,110,2090.5,0.82089552238806
"71","2006-2020",2,85,115,2013,0.858208955223881
"72","2021-2040",2,85,114,2030.5,0.850746268656716
"73","2041-2060",2,85,115,2050.5,0.858208955223881
"74","2061-2080",2,85,103,2070.5,0.76865671641791
"75","2081-2100",2,85,118,2090.5,0.880597014925373
"76","2006-2020",3,85,112,2013,0.835820895522388
"77","2021-2040",3,85,113,2030.5,0.843283582089552
"78","2041-2060",3,85,118,2050.5,0.880597014925373
"79","2061-2080",3,85,104,2070.5,0.776119402985075
"80","2081-2100",3,85,103,2090.5,0.76865671641791
"81","2006-2020",4,85,108,2013,0.805970149253731
"82","2021-2040",4,85,105,2030.5,0.783582089552239
"83","2041-2060",4,85,116,2050.5,0.865671641791045
"84","2061-2080",4,85,117,2070.5,0.873134328358209
"85","2081-2100",4,85,113,2090.5,0.843283582089552
"86","2006-2020",5,85,108,2013,0.805970149253731
"87","2021-2040",5,85,116,2030.5,0.865671641791045
"88","2041-2060",5,85,109,2050.5,0.813432835820896
"89","2061-2080",5,85,114,2070.5,0.850746268656716
"90","2081-2100",5,85,112,2090.5,0.835820895522388
"91","2006-2020",6,85,114,2013,0.850746268656716
"92","2021-2040",6,85,112,2030.5,0.835820895522388
"93","2041-2060",6,85,120,2050.5,0.895522388059702
"94","2061-2080",6,85,112,2070.5,0.835820895522388
"95","2081-2100",6,85,104,2090.5,0.776119402985075
"96","2006-2020",7,85,115,2013,0.858208955223881
"97","2021-2040",7,85,122,2030.5,0.91044776119403
"98","2041-2060",7,85,123,2050.5,0.917910447761194
"99","2061-2080",7,85,112,2070.5,0.835820895522388
"100","2081-2100",7,85,108,2090.5,0.805970149253731
"101","2006-2020",8,85,115,2013,0.858208955223881
"102","2021-2040",8,85,126,2030.5,0.940298507462687
"103","2041-2060",8,85,119,2050.5,0.888059701492537
"104","2061-2080",8,85,115,2070.5,0.858208955223881
"105","2081-2100",8,85,125,2090.5,0.932835820895522
"106","2006-2020",9,85,110,2013,0.82089552238806
"107","2021-2040",9,85,115,2030.5,0.858208955223881
"108","2041-2060",9,85,115,2050.5,0.858208955223881
"109","2061-2080",9,85,116,2070.5,0.865671641791045
"110","2081-2100",9,85,111,2090.5,0.828358208955224
"111","2006-2020",10,85,111,2013,0.828358208955224
"112","2021-2040",10,85,115,2030.5,0.858208955223881
"113","2041-2060",10,85,117,2050.5,0.873134328358209
"114","2061-2080",10,85,118,2070.5,0.880597014925373
"115","2081-2100",10,85,104,2090.5,0.776119402985075
"116","2006-2020",11,85,114,2013,0.850746268656716
"117","2021-2040",11,85,117,2030.5,0.873134328358209
"118","2041-2060",11,85,102,2050.5,0.761194029850746
"119","2061-2080",11,85,115,2070.5,0.858208955223881
"120","2081-2100",11,85,121,2090.5,0.902985074626866
"121","2006-2020",12,85,117,2013,0.873134328358209
"122","2021-2040",12,85,117,2030.5,0.873134328358209
"123","2041-2060",12,85,120,2050.5,0.895522388059702
"124","2061-2080",12,85,118,2070.5,0.880597014925373
"125","2081-2100",12,85,115,2090.5,0.858208955223881
"126","2006-2020",13,85,114,2013,0.850746268656716
"127","2021-2040",13,85,120,2030.5,0.895522388059702
"128","2041-2060",13,85,120,2050.5,0.895522388059702
"129","2061-2080",13,85,124,2070.5,0.925373134328358
"130","2081-2100",13,85,115,2090.5,0.858208955223881
