"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,64,2013,0.853333333333333
"2","2021-2040",1,45,67,2030.5,0.893333333333333
"3","2041-2060",1,45,68,2050.5,0.906666666666667
"4","2061-2080",1,45,58,2070.5,0.773333333333333
"5","2081-2100",1,45,53,2090.5,0.706666666666667
"6","2006-2020",2,45,68,2013,0.906666666666667
"7","2021-2040",2,45,67,2030.5,0.893333333333333
"8","2041-2060",2,45,70,2050.5,0.933333333333333
"9","2061-2080",2,45,66,2070.5,0.88
"10","2081-2100",2,45,68,2090.5,0.906666666666667
"11","2006-2020",3,45,62,2013,0.826666666666667
"12","2021-2040",3,45,68,2030.5,0.906666666666667
"13","2041-2060",3,45,64,2050.5,0.853333333333333
"14","2061-2080",3,45,64,2070.5,0.853333333333333
"15","2081-2100",3,45,63,2090.5,0.84
"16","2006-2020",4,45,61,2013,0.813333333333333
"17","2021-2040",4,45,64,2030.5,0.853333333333333
"18","2041-2060",4,45,61,2050.5,0.813333333333333
"19","2061-2080",4,45,56,2070.5,0.746666666666667
"20","2081-2100",4,45,49,2090.5,0.653333333333333
"21","2006-2020",5,45,62,2013,0.826666666666667
"22","2021-2040",5,45,61,2030.5,0.813333333333333
"23","2041-2060",5,45,65,2050.5,0.866666666666667
"24","2061-2080",5,45,59,2070.5,0.786666666666667
"25","2081-2100",5,45,54,2090.5,0.72
"26","2006-2020",6,45,66,2013,0.88
"27","2021-2040",6,45,68,2030.5,0.906666666666667
"28","2041-2060",6,45,67,2050.5,0.893333333333333
"29","2061-2080",6,45,63,2070.5,0.84
"30","2081-2100",6,45,62,2090.5,0.826666666666667
"31","2006-2020",7,45,57,2013,0.76
"32","2021-2040",7,45,57,2030.5,0.76
"33","2041-2060",7,45,66,2050.5,0.88
"34","2061-2080",7,45,67,2070.5,0.893333333333333
"35","2081-2100",7,45,66,2090.5,0.88
"36","2006-2020",8,45,66,2013,0.88
"37","2021-2040",8,45,66,2030.5,0.88
"38","2041-2060",8,45,69,2050.5,0.92
"39","2061-2080",8,45,67,2070.5,0.893333333333333
"40","2081-2100",8,45,68,2090.5,0.906666666666667
"41","2006-2020",9,45,66,2013,0.88
"42","2021-2040",9,45,69,2030.5,0.92
"43","2041-2060",9,45,70,2050.5,0.933333333333333
"44","2061-2080",9,45,70,2070.5,0.933333333333333
"45","2081-2100",9,45,69,2090.5,0.92
"46","2006-2020",10,45,68,2013,0.906666666666667
"47","2021-2040",10,45,68,2030.5,0.906666666666667
"48","2041-2060",10,45,69,2050.5,0.92
"49","2061-2080",10,45,69,2070.5,0.92
"50","2081-2100",10,45,65,2090.5,0.866666666666667
"51","2006-2020",11,45,68,2013,0.906666666666667
"52","2021-2040",11,45,67,2030.5,0.893333333333333
"53","2041-2060",11,45,67,2050.5,0.893333333333333
"54","2061-2080",11,45,69,2070.5,0.92
"55","2081-2100",11,45,68,2090.5,0.906666666666667
"56","2006-2020",12,45,70,2013,0.933333333333333
"57","2021-2040",12,45,66,2030.5,0.88
"58","2041-2060",12,45,64,2050.5,0.853333333333333
"59","2061-2080",12,45,62,2070.5,0.826666666666667
"60","2081-2100",12,45,60,2090.5,0.8
"61","2006-2020",13,45,70,2013,0.933333333333333
"62","2021-2040",13,45,69,2030.5,0.92
"63","2041-2060",13,45,67,2050.5,0.893333333333333
"64","2061-2080",13,45,67,2070.5,0.893333333333333
"65","2081-2100",13,45,64,2090.5,0.853333333333333
"66","2006-2020",1,85,64,2013,0.853333333333333
"67","2021-2040",1,85,67,2030.5,0.893333333333333
"68","2041-2060",1,85,68,2050.5,0.906666666666667
"69","2061-2080",1,85,54,2070.5,0.72
"70","2081-2100",1,85,56,2090.5,0.746666666666667
"71","2006-2020",2,85,68,2013,0.906666666666667
"72","2021-2040",2,85,66,2030.5,0.88
"73","2041-2060",2,85,67,2050.5,0.893333333333333
"74","2061-2080",2,85,53,2070.5,0.706666666666667
"75","2081-2100",2,85,52,2090.5,0.693333333333333
"76","2006-2020",3,85,66,2013,0.88
"77","2021-2040",3,85,69,2030.5,0.92
"78","2041-2060",3,85,65,2050.5,0.866666666666667
"79","2061-2080",3,85,57,2070.5,0.76
"80","2081-2100",3,85,54,2090.5,0.72
"81","2006-2020",4,85,63,2013,0.84
"82","2021-2040",4,85,64,2030.5,0.853333333333333
"83","2041-2060",4,85,57,2050.5,0.76
"84","2061-2080",4,85,55,2070.5,0.733333333333333
"85","2081-2100",4,85,39,2090.5,0.52
"86","2006-2020",5,85,67,2013,0.893333333333333
"87","2021-2040",5,85,68,2030.5,0.906666666666667
"88","2041-2060",5,85,62,2050.5,0.826666666666667
"89","2061-2080",5,85,53,2070.5,0.706666666666667
