"","sppocean","npres","npres.tr","npres.te","ntot","auc","auc.tt","tss","tss.tt","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.1deg","r2.abun.1deg","dev.pres","dev.biomass","dev.pres.null","dev.biomass.null"
"1","acanthephyra pelagica_Atl",1881,NA,NA,69804,0.986983043774552,NA,0.928089335015927,NA,0.0265992222116906,NA,0.0053918837680839,NA,0.72,0.02,0.65102213359897,0.983432946606528,0.505428092632162,0.979375487772039
"2","achelous spinicarpus_Atl",2189,1441,748,69804,0.982049853173011,0.973881358134166,0.914568752816852,0.888175709304535,0.0794205627480346,NA,0.0685066002480179,0.0122654666074683,0.67,0.03,0.60589811460151,0.900059056500259,0.171656004254663,0.525338203778906
"3","actinauge verrilli_Pac",1123,830,293,31363,0.930991751355725,0.905978974282905,0.749368160255266,0.710581015530949,0.123389976945622,0.06231045761071,0.0310662906975734,0.0550434141858461,0.4,0.14,0.366506525955053,0.771300430298286,0.289899686901669,0.757883277782187
"4","acylopsetta quadrocellata_Atl",680,448,232,69804,0.955849696368335,0.91541690004295,0.888914501272834,0.860159137898628,0.0703222840664106,NA,0.0100967165758264,3.86770341618117e-05,0.24,0.04,0.387399676792437,0.902628283092864,0.187486405556941,0.661088975382125
"5","aforia circinata_Pac",832,603,229,31363,0.923902868742728,0.956575040448843,0.78280553994986,0.853071343428129,0.0769319008753817,NA,0.00181719522638477,0.0243547366028225,0.22,0.01,0.329443260896636,0.974589450508685,0.17373940488165,0.878026881439272
"6","albatrossia pectoralis_Pac",1724,1292,432,31363,0.977869807910632,0.976323181596327,0.846722153163229,0.855883042681511,0.126551625354226,NA,0.00707332439741255,0.00708434964177888,0.69,0.08,0.63156508882937,0.934535030770046,0.33893609575057,0.899571293241232
"7","alepocephalus bairdii_Atl",493,401,92,69804,0.974761783785251,0.954328701671659,0.884640139176033,0.873512010696432,8.95659412271282e-06,NA,5.11704554198986e-11,NA,0.27,0,0.439363302331962,0.980587710033765,0.235207804521981,0.977415263513393
"8","alepocephalus tenebrosus_Pac",1203,812,391,31363,0.997587733804305,0.996647624944453,0.971594270912407,0.967472736876516,0.0996473795665555,NA,0.100411086897698,0.239850910083657,0.94,0.25,0.853708560671198,0.990462441446077,0.479316014557358,0.983735627886616
"9","allocentrotus fragilis_Pac",3251,2410,841,31362,0.891328090848879,0.859019370831035,0.654590904251103,0.609699207044006,0.364695439047765,0.237953848532183,0.144954715714208,0.1348940873336,0.4,0.51,0.330918586462726,0.402689147857596,0.27440595225805,0.314318398015789
"10","alosa aestivalis_Atl",2859,1882,977,69804,0.90475242515168,0.903369693334834,0.715621988741047,0.73165712476241,0.0415270924356337,NA,0.000395705538848596,1.02845068954755e-06,0.26,0,0.299691346944843,0.90819510727581,0.128068758908824,0.77142578753431
"11","alosa pseudoharengus_Atl",8512,6545,1967,69804,0.882412515337065,0.892330007281395,0.677468309916819,0.69578928657077,0.0810096101749422,NA,0.000796460558478561,0.00119033653059031,0.33,0.02,0.315786854631795,0.833994201601074,0.085099614919868,0.530276690900964
"12","alosa sapidissima_Atl",2508,1733,775,69804,0.855822435728381,0.87165781889884,0.65074319752852,0.699510224071714,0.0730506320282099,NA,0.000383367698552345,0.00119644101391694,0.17,0,0.206768615754879,0.910508444156462,0.0600830247054931,0.761979498581711
"13","alosa sapidissima_Pac",1170,1107,63,31363,0.956750531693467,0.962237047261199,0.841702196061466,0.875360080751728,0.00374588009993861,NA,0.00116892616644184,0.00157403491191451,0.4,0.02,0.453708527682267,0.968858497182835,0.332845567323284,0.955656693026893
"14","aluterus schoepfi_Atl",429,188,241,69804,0.956478918078931,0.906015236562918,0.826933356093011,0.813030075965709,0.843276870235501,NA,0.00112305177045624,2.32386164091341e-05,0.17,0.06,0.348853070843375,0.998427846713442,0.157266679779778,0.980596603551037
"15","amblyraja radiata_Atl",20011,16949,3062,69804,0.840979236368269,0.845750959643747,0.594567519136323,0.608486208763359,0.722590055517494,NA,0.0475300314677862,0.00335975693487825,0.45,0.26,0.283487477218328,0.912504245724629,0.134931811843204,0.579588530109456
"16","ammodytes dubius_Atl",5923,4317,1606,69803,0.863891261694825,0.803662040377575,0.581212144307287,0.516971005050949,0.3571418491658,NA,0.00432428427008482,0.0011366110923259,0.38,0.02,0.271259613975462,0.927962372870751,0.0738132951475937,0.634259033655035
"17","ammodytes hexapterus_Pac",581,464,117,31363,0.884959843644259,0.869594947324023,0.613105272376321,0.607002381445288,0.335335024901669,0.49485564234333,0.00549469158787261,0.000998234494734564,0.22,0.01,0.243040371003851,0.894265782276471,0.0815191122143796,0.889111540492371
"18","amusium papyraceum_Atl",1309,868,441,69804,0.986690752856162,0.975316822981659,0.918419060844562,0.908411929101051,0.129646700119584,NA,0.0704547035036917,0.0619645675982187,0.5,0.09,0.611145165121997,0.935095556839914,0.22528944492248,0.658171087219297
"19","anarhichas denticulatus_Atl",1491,942,549,69804,0.945711229595632,0.932353059819996,0.765276255105965,0.761063329859772,0.0464499133694432,NA,1.62352067048167e-08,6.04033761285175e-08,0.4,0,0.390402486422007,0.947374375018549,0.242348029384686,0.920343158689633
"20","anarhichas lupus_Atl",6389,5334,1055,69804,0.836537628792013,0.866868420521107,0.588400707672352,0.605174345927656,0.773690001889068,NA,0.0122006913652052,0.0173194804035294,0.29,0.08,0.21826287965583,0.960509143556455,0.100656816659498,0.697077850813513
"21","anarhichas minor_Atl",1628,1070,558,69804,0.917545671104546,0.902681365697866,0.743400716694815,0.740801526560837,0.026754015097097,NA,1.18673209801337e-08,6.26366867595066e-08,0.23,0,0.303838847122299,0.951244311552579,0.113829953964702,0.907756945621932
"22","anasimus latus_Atl",743,406,337,69804,0.979775589189367,0.969869674914751,0.906700968128697,0.874537294288285,0.0262161866826941,NA,0.00540503060486031,0.000204569824062102,0.36,0.02,0.50326593367603,0.88729574838449,0.195621318372787,0.670653270297203
"23","anchoa hepsetus_Atl",2789,2175,614,69804,0.957315727010925,0.946219843715579,0.846882006148096,0.811407336981978,0.879285660057149,NA,0.0646589100477317,0.0476425933651154,0.43,0.15,0.475064327729693,0.992221469204346,0.0980771505350037,0.943657226736321
"24","anchoa mitchilli_Atl",1937,1624,313,69803,0.925816423663434,0.922516821854077,0.716770991939425,0.714002844766,0.445365659922934,NA,0.00384509795078312,0.0657106111796793,0.34,0.03,0.351427339080486,0.944789080630475,0.121408916890171,0.879525434615159
"25","ancylopsetta dilecta_Atl",663,478,185,69804,0.985758908779389,0.976571083278402,0.906482702002207,0.898398407710863,0.231173321501228,NA,0.000189952533049369,0.000134369190320845,0.4,0,0.552091146505037,0.999150815812141,0.130161052609996,0.969621770776985
