"","sppocean","npres","npres.tr","npres.te","ntot","auc","auc.tt","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.1deg","r2.abun.1deg","dev.pres","dev.biomass"
"1","acanthephyra pelagica_Atl",1880,1567,313,15282,0.938373619212226,0.905466019225195,0.1792246593808,0.0596424202636423,0.11207844530019,0.0205122330538796,0.64,0.23,0.465660116768243,0.962468569268695
"2","achelous spinicarpus_Atl",2184,1639,545,7766,0.807771668943733,0.796119120431051,0.194852817630142,0.0406101612572716,0.0668924625185928,0.0302101154032499,0.47,0.13,0.215782095335191,0.194845865858787
"3","actinauge verrilli_Pac",1163,881,282,20776,0.901961247648466,0.856957972360033,0.129652564195758,0.0478250534221211,0.0228943969840311,0.0459306138664341,0.36,0.07,0.316025716540454,0.769717772021019
"4","acylopsetta quadrocellata_Atl",680,514,166,7766,0.633843452707082,0.520782481041684,0.176266206327892,0.0504675176973569,0.0136854568251844,1.86266531022331e-05,0.08,0.04,0.0302749991504543,0.176212181370205
"5","aforia circinata_Pac",818,555,263,11115,0.812141737582095,0.840412819120044,0.279472664767221,0.063323662448445,0.0616309332063935,0.057333496544857,0.2,0.17,0.17717876036842,0.279378747569417
"6","albatrossia pectoralis_Pac",1837,1485,352,18098,0.967491023286852,0.96895348109191,0.563190711667808,0.00457558261231801,0.0386268086892819,0.000829614961632576,0.66,0.17,0.600519360593299,0.813763575611301
"7","alepocephalus bairdii_Atl",406,353,53,9993,0.885182803478221,0.88287537086234,0.0346092462645466,0.00786196210682839,0.00535566000862223,2.74370621524987e-06,0.26,0.05,0.270932704826885,0.0332919100274747
"8","alepocephalus tenebrosus_Pac",1346,1074,272,6170,0.980418764276692,0.975518221841747,0.256990443395295,0.17064095258881,0.0760703857953803,0.211565014471634,0.87,0.27,0.722307070009074,0.2569214085619
"9","allocentrotus fragilis_Pac",3479,2578,901,32059,0.891903414891113,0.848667713508531,0.361163836970921,0.23064616209124,0.176135786346396,0.224650889625246,0.41,0.5,0.339949188789176,0.38779142297162
"10","alosa aestivalis_Atl",2797,1704,1093,24595,0.822495892421181,0.721119379179091,0.14028482984593,0.11308431074401,1.43641558228523e-07,1.78130999998145e-06,0.38,0,0.203937002917245,0.507577842173686
"11","alosa pseudoharengus_Atl",8369,6185,2184,45642,0.848123383673828,0.840087523843285,0.150484921458994,0.0693027249684526,1.71468259627302e-06,0.0276485435015185,0.38,0,0.272795670550799,0.177861825608232
"12","alosa sapidissima_Atl",2473,1611,862,41038,0.782699444680701,0.745897504339492,0.252174634167515,0.149968201963778,8.8802828411533e-05,0.0120379649058242,0.18,0,0.137677633641572,0.440628258472139
"13","alosa sapidissima_Pac",1175,989,186,7922,0.833606930109252,0.862962792163374,0.0489872346809555,0.0592246146250411,0.0170211798915061,0.0137962646567872,0.39,0.1,0.237354720471504,0.239590900334024
"14","aluterus schoepfi_Atl",419,189,230,31107,0.915444470298924,0.875204110513577,0.925058476080481,0.0301414671701194,2.56237826122318e-09,1.77966933144344e-05,0.19,0,0.287304072407226,0.972625442241938
"15","amblyraja radiata_Atl",20011,16703,3308,62007,0.814182033675231,0.813298085910453,0.729281372434845,0.3851548812499,0.0634094158542905,0.00552385100109166,0.39,0.26,0.243674766886414,0.770356927039571
"16","ammodytes dubius_Atl",5923,4271,1652,62006,0.847028784659703,0.78416661335044,0.403500725687963,0.00249311291357754,3.50946816978843e-08,0.000754711283497213,0.36,0,0.246830313436529,0.743627260699895
"17","ammodytes hexapterus_Pac",567,452,115,22857,0.857238082578303,0.828025720084285,0.403778429611225,0.450706116717202,0.00149665885456201,0.000742457514961059,0.22,0,0.2104764292187,0.904181569957299
"18","amusium papyraceum_Atl",1308,1027,281,7766,0.87216996343343,0.812260793661447,0.218982091732396,0.0831890157032754,0.143788491088118,0.106094426640654,0.39,0.17,0.309946509377378,0.218956672701149
"19","anarhichas denticulatus_Atl",1491,1059,432,26818,0.90677240156162,0.902049909116201,0.379906094687769,0.125810026964654,5.92620043991971e-06,1.36212134192385e-06,0.43,0.11,0.326022249179195,0.934577280470446
"20","anarhichas lupus_Atl",6389,5187,1202,62007,0.812100573348895,0.846180229176907,0.778357888417573,0.373581273557601,9.35788018002965e-08,0.0258758854323913,0.27,0,0.189015750614124,0.848814458732208
