"","id","name","spp"
"1",1,"acanthephyrapelagica","acanthephyra pelagica"
"2",2,"alosapseudoharengus","alosa pseudoharengus"
"3",3,"amblyrajaradiata","amblyraja radiata"
"4",4,"ammodytesdubius","ammodytes dubius"
"5",5,"anarhichasdenticulatus","anarhichas denticulatus"
"6",6,"anarhichaslupus","anarhichas lupus"
"7",7,"anarhichasminor","anarhichas minor"
"8",8,"antimorarostrata","antimora rostrata"
"9",9,"argentinasilus","argentina silus"
"10",10,"argisdentata","argis dentata"
"11",11,"aspidophoroidesmonopterygius","aspidophoroides monopterygius"
"12",12,"aspidophoroidesolrikii","aspidophoroides olrikii"
"13",13,"atlantopandaluspropinqvus","atlantopandalus propinqvus"
"14",14,"bathylaguseuryops","bathylagus euryops"
"15",15,"bathypolypusarcticus","bathypolypus arcticus"
"16",16,"boreogadussaida","boreogadus saida"
"17",17,"brosmebrosme","brosme brosme"
"18",18,"cancerborealis","cancer borealis"
"19",19,"cancerirroratus","cancer irroratus"
"20",20,"centroscylliumfabricii","centroscyllium fabricii"
"21",21,"chauliodussloani","chauliodus sloani"
"22",22,"chiasmodonniger","chiasmodon niger"
"23",23,"chionoecetesopilio","chionoecetes opilio"
"24",24,"chlamysislandica","chlamys islandica"
"25",25,"citharichthysarctifrons","citharichthys arctifrons"
"26",26,"clupeaharengus","clupea harengus"
"27",27,"coryphaenoidesrupestris","coryphaenoides rupestris"
"28",28,"cyclopteruslumpus","cyclopterus lumpus"
"29",29,"dichelopandalusleptocerus","dichelopandalus leptocerus"
"30",30,"dipturuslaevis","dipturus laevis"
"31",31,"enchelyopuscimbrius","enchelyopus cimbrius"
"32",32,"eualusgaimardii","eualus gaimardii"
"33",33,"eualusmacilentus","eualus macilentus"
"34",34,"eumesogrammuspraecisus","eumesogrammus praecisus"
"35",35,"eumicrotremusspinosus","eumicrotremus spinosus"
"36",36,"gadusmorhua","gadus morhua"
"37",37,"gadusogac","gadus ogac"
"38",38,"glyptocephaluscynoglossus","glyptocephalus cynoglossus"
"39",39,"helicolenusdactylopterus","helicolenus dactylopterus"
"40",40,"hemitripterusamericanus","hemitripterus americanus"
"41",41,"hippoglossinaoblonga","hippoglossina oblonga"
"42",42,"hippoglossoidesplatessoides","hippoglossoides platessoides"
"43",43,"hippoglossushippoglossus","hippoglossus hippoglossus"
"44",44,"homarusamericanus","homarus americanus"
"45",45,"icelusspatula","icelus spatula"
"46",46,"illexillecebrosus","illex illecebrosus"
"47",47,"lebbeusgroenlandicus","lebbeus groenlandicus"
"48",48,"lebbeuspolaris","lebbeus polaris"
"49",49,"lepophidiumprofundorum","lepophidium profundorum"
"50",50,"leptagonusdecagonus","leptagonus decagonus"
"51",51,"leptoclinusmaculatus","leptoclinus maculatus"
"52",52,"leucorajaerinacea","leucoraja erinacea"
"53",53,"leucorajaocellata","leucoraja ocellata"
"54",54,"limandaferruginea","limanda ferruginea"
"55",55,"loligopealeii","loligo pealeii"
"56",56,"lophiusamericanus","lophius americanus"
"57",57,"lumpenuslampretaeformis","lumpenus lampretaeformis"
"58",58,"lycodesreticulatus","lycodes reticulatus"
"59",59,"lycodesvahlii","lycodes vahlii"
"60",60,"macrourusberglax","macrourus berglax"
"61",61,"malacorajasenta","malacoraja senta"
"62",62,"malacosteusniger","malacosteus niger"
"63",63,"mallotusvillosus","mallotus villosus"
"64",64,"melanogrammusaeglefinus","melanogrammus aeglefinus"
"65",65,"merlucciusbilinearis","merluccius bilinearis"
"66",66,"myoxocephalusoctodecemspinosus","myoxocephalus octodecemspinosus"
"67",67,"myoxocephalusscorpius","myoxocephalus scorpius"
"68",68,"myxineglutinosa","myxine glutinosa"
"69",69,"nemichthysscolopaceus","nemichthys scolopaceus"
"70",70,"nezumiabairdii","nezumia bairdii"
"71",71,"pandalusborealis","pandalus borealis"
"72",72,"pandalusmontagui","pandalus montagui"
"73",73,"parapasiphaeasulcatifrons","parapasiphaea sulcatifrons"
"74",74,"pasiphaeamultidentata","pasiphaea multidentata"
"75",75,"peprilustriacanthus","peprilus triacanthus"
"76",76,"phycischesteri","phycis chesteri"
"77",77,"placopectenmagellanicus","placopecten magellanicus"
"78",78,"pollachiusvirens","pollachius virens"
"79",79,"polyacanthonotusrissoanus","polyacanthonotus rissoanus"
"80",80,"pseudopleuronectesamericanus","pseudopleuronectes americanus"
"81",81,"reinhardtiushippoglossoides","reinhardtius hippoglossoides"
"82",82,"sabineaseptemcarinata","sabinea septemcarinata"
"83",83,"sclerocrangonboreas","sclerocrangon boreas"
"84",84,"scophthalmusaquosus","scophthalmus aquosus"
"85",85,"sebastesfasciatus","sebastes fasciatus"
"86",86,"sebastesmentella","sebastes mentella"
"87",87,"sergestesarcticus","sergestes arcticus"
"88",88,"serrivomerbeanii","serrivomer beanii"
"89",89,"spirontocarisspinus","spirontocaris spinus"
"90",90,"squalusacanthias","squalus acanthias"
"91",91,"stereomastissculpta","stereomastis sculpta"
"92",92,"stomiasferox","stomias ferox"
"93",93,"synaphobranchuskaupii","synaphobranchus kaupii"
"94",94,"triglopsmurrayi","triglops murrayi"
"95",95,"urophycischuss","urophycis chuss"
"96",96,"urophycistenuis","urophycis tenuis"
"97",97,"zoarcesamericanus","zoarces americanus"
"98",98,"melanogrammusaeglefinus_fishery","melanogrammus aeglefinus"
"99",99,"gadusmorhua_fishery","gadus morhua"
"100",100,"cancerirroratus_fishery","cancer irroratus"
"101",101,"mallotusvillosus_fishery","mallotus villosus"
"102",102,"pandalusborealis_fishery","pandalus borealis"
"103",103,"placopectenmagellanicus_fishery","placopecten magellanicus"
"104",104,"scomberscombrus_fishery","scomber scombrus"
"105",105,"homarusamericanus_fishery","homarus americanus"
"106",106,"chionoecetesopilio_fishery","chionoecetes opilio"
"107",107,"clupeaharengus_fishery","clupea harengus"
"108",108,"energy",NA
