"","id","name","spp"
"1",1,"acanthephyrapelagica","acanthephyra pelagica"
"2",2,"alepocephalusbairdii","alepocephalus bairdii"
"3",3,"amblyrajaradiata","amblyraja radiata"
"4",4,"ammodytesdubius","ammodytes dubius"
"5",5,"anarhichasdenticulatus","anarhichas denticulatus"
"6",6,"anarhichaslupus","anarhichas lupus"
"7",7,"anarhichasminor","anarhichas minor"
"8",8,"antimorarostrata","antimora rostrata"
"9",9,"apristurusprofundorum","apristurus profundorum"
"10",10,"argentinasilus","argentina silus"
"11",11,"argisdentata","argis dentata"
"12",12,"aspidophoroidesmonopterygius","aspidophoroides monopterygius"
"13",13,"aspidophoroidesolrikii","aspidophoroides olrikii"
"14",14,"atlantopandaluspropinqvus","atlantopandalus propinqvus"
"15",15,"bathylaguseuryops","bathylagus euryops"
"16",16,"bathyrajaspinicauda","bathyraja spinicauda"
"17",17,"boreogadussaida","boreogadus saida"
"18",18,"brosmebrosme","brosme brosme"
"19",19,"cancerborealis","cancer borealis"
"20",20,"chauliodussloani","chauliodus sloani"
"21",21,"chiasmodonniger","chiasmodon niger"
"22",22,"chionoecetesopilio","chionoecetes opilio"
"23",23,"chlamysislandica","chlamys islandica"
"24",24,"clupeaharengus","clupea harengus"
"25",25,"coryphaenoidesrupestris","coryphaenoides rupestris"
"26",26,"cottunculusmicrops","cottunculus microps"
"27",27,"cryptacanthodesmaculatus","cryptacanthodes maculatus"
"28",28,"cyclopteruslumpus","cyclopterus lumpus"
"29",29,"enchelyopuscimbrius","enchelyopus cimbrius"
"30",30,"eualusfabricii","eualus fabricii"
"31",31,"eualusgaimardii","eualus gaimardii"
"32",32,"eualusmacilentus","eualus macilentus"
"33",33,"eumesogrammuspraecisus","eumesogrammus praecisus"
"34",34,"eumicrotremusspinosus","eumicrotremus spinosus"
"35",35,"gadusmorhua","gadus morhua"
"36",36,"gadusogac","gadus ogac"
"37",37,"gersemiarubiformis","gersemia rubiformis"
"38",38,"glyptocephaluscynoglossus","glyptocephalus cynoglossus"
"39",39,"gymnelusviridis","gymnelus viridis"
"40",40,"hemitripterusamericanus","hemitripterus americanus"
"41",41,"hippoglossoidesplatessoides","hippoglossoides platessoides"
"42",42,"hippoglossushippoglossus","hippoglossus hippoglossus"
"43",43,"icelusspatula","icelus spatula"
"44",44,"illexillecebrosus","illex illecebrosus"
"45",45,"lebbeusgroenlandicus","lebbeus groenlandicus"
"46",46,"lebbeuspolaris","lebbeus polaris"
"47",47,"leptagonusdecagonus","leptagonus decagonus"
"48",48,"leptoclinusmaculatus","leptoclinus maculatus"
"49",49,"leucorajaerinacea","leucoraja erinacea"
"50",50,"limandaferruginea","limanda ferruginea"
"51",51,"lithodesmaja","lithodes maja"
"52",52,"lophiusamericanus","lophius americanus"
"53",53,"lumpenuslampretaeformis","lumpenus lampretaeformis"
"54",54,"lycodesesmarkii","lycodes esmarkii"
"55",55,"lycodesreticulatus","lycodes reticulatus"
"56",56,"lycodesvahlii","lycodes vahlii"
"57",57,"macrourusberglax","macrourus berglax"
"58",58,"malacorajasenta","malacoraja senta"
"59",59,"malacosteusniger","malacosteus niger"
"60",60,"mallotusvillosus","mallotus villosus"
"61",61,"melanogrammusaeglefinus","melanogrammus aeglefinus"
"62",62,"merlucciusbilinearis","merluccius bilinearis"
"63",63,"myoxocephalusoctodecemspinosus","myoxocephalus octodecemspinosus"
"64",64,"myoxocephalusscorpius","myoxocephalus scorpius"
"65",65,"myxineglutinosa","myxine glutinosa"
"66",66,"nemichthysscolopaceus","nemichthys scolopaceus"
"67",67,"nezumiabairdii","nezumia bairdii"
"68",68,"pandalusborealis","pandalus borealis"
"69",69,"pandalusmontagui","pandalus montagui"
"70",70,"parapasiphaeasulcatifrons","parapasiphaea sulcatifrons"
"71",71,"phycischesteri","phycis chesteri"
"72",72,"pollachiusvirens","pollachius virens"
"73",73,"polyacanthonotusrissoanus","polyacanthonotus rissoanus"
"74",74,"pseudopleuronectesamericanus","pseudopleuronectes americanus"
"75",75,"reinhardtiushippoglossoides","reinhardtius hippoglossoides"
"76",76,"sabineahystrix","sabinea hystrix"
"77",77,"sabineasarsii","sabinea sarsii"
"78",78,"sabineaseptemcarinata","sabinea septemcarinata"
"79",79,"sclerocrangonboreas","sclerocrangon boreas"
"80",80,"sebastesfasciatus","sebastes fasciatus"
"81",81,"sebastesmentella","sebastes mentella"
"82",82,"sergestesarcticus","sergestes arcticus"
"83",83,"serrivomerbeanii","serrivomer beanii"
"84",84,"spirontocarislilljeborgi","spirontocaris lilljeborgi"
"85",85,"spirontocarisspinus","spirontocaris spinus"
"86",86,"squalusacanthias","squalus acanthias"
"87",87,"stereomastissculpta","stereomastis sculpta"
"88",88,"stomiasferox","stomias ferox"
"89",89,"synaphobranchuskaupii","synaphobranchus kaupii"
"90",90,"urophycischuss","urophycis chuss"
"91",91,"urophycistenuis","urophycis tenuis"
"92",92,"zoarcesamericanus","zoarces americanus"
"93",93,"melanogrammusaeglefinus_fishery","melanogrammus aeglefinus"
"94",94,"scomberscombrus_fishery","scomber scombrus"
"95",95,"homarusamericanus_fishery","homarus americanus"
"96",96,"gadusmorhua_fishery","gadus morhua"
"97",97,"placopectenmagellanicus_fishery","placopecten magellanicus"
"98",98,"reinhardtiushippoglossoides_fishery","reinhardtius hippoglossoides"
"99",99,"mallotusvillosus_fishery","mallotus villosus"
"100",100,"chionoecetesopilio_fishery","chionoecetes opilio"
"101",101,"clupeaharengus_fishery","clupea harengus"
"102",102,"pandalusborealis_fishery","pandalus borealis"
"103",103,"energy",NA
