"","x"
"1","Not enough presences in 1960s for 4 aluterus schoepfi_Atl"
"2","Not enough presences in 1960s for 8 anchoa hepsetus_Atl"
"3","Not enough presences in 1960s for 9 anchoa mitchilli_Atl"
"4","Not enough presences in 1960s for 10 ancylopsetta dilecta_Atl"
"5","Not enough presences in 1960s for 11 antennarius radiosus_Atl"
"6","Not enough presences in 1960s for 12 antimora rostrata_Atl"
"7","Not enough presences in 1960s for 14 ariopsis felis_Atl"
"8","Not enough presences in 1960s for 15 aspidophoroides monopterygius_Atl"
"9","Not enough presences in 1960s for 16 balistes capriscus_Atl"
"10","Not enough presences in 1960s for 17 bathypolypus arcticus_Atl"
"11","Not enough presences in 1960s for 18 bellator militaris_Atl"
"12","Not enough presences in 1960s for 20 calappa sulcata_Atl"
"13","Not enough presences in 1960s for 21 callinectes sapidus_Atl"
"14","Not enough presences in 1960s for 22 cancer borealis_Atl"
"15","Not enough presences in 1960s for 23 cancer irroratus_Atl"
"16","Not enough presences in 1960s for 24 caranx crysos_Atl"
"17","Not enough presences in 1960s for 25 centropristis philadelphica_Atl"
"18","Not enough presences in 1960s for 27 centroscyllium fabricii_Atl"
"19","Not enough presences in 1960s for 28 chaetodipterus faber_Atl"
"20","Not enough presences in 1960s for 29 chauliodus sloani_Atl"
"21","Not enough presences in 1960s for 30 chionoecetes opilio_Atl"
"22","Not enough presences in 1960s for 31 chlamys islandica_Atl"
"23","Not enough presences in 1960s for 32 chloroscombrus chrysurus_Atl"
"24","Not enough presences in 1960s for 34 citharichthys macrops_Atl"
"25","Not enough presences in 1960s for 35 citharichthys spilopterus_Atl"
"26","Not enough presences in 1960s for 38 cynoscion arenarius_Atl"
"27","Not enough presences in 1960s for 39 cynoscion nothus_Atl"
"28","Not enough presences in 1960s for 40 cynoscion regalis_Atl"
"29","Not enough presences in 1960s for 41 dasyatis centroura_Atl"
"30","Not enough presences in 1960s for 42 dasyatis say_Atl"
"31","Not enough presences in 1960s for 43 decapterus punctatus_Atl"
"32","Not enough presences in 1960s for 44 dichelopandalus leptocerus_Atl"
